,LSOA11CD,SEC1_chg,SEC2_chg,SEC3_chg,SEC4_chg,SEC5_chg,SEC6_chg,SEC7_chg,hseP_chg,inc_chg,owned_chg,socRent_chg,pteRent_chg,inc_01,hseP_01
2356,E01002408,-1.25,-2.36,0.8,0.0,-0.97,2.58,0.89,87.67723640000001,28.201037100000004,-11.049999999999999,4.83,5.41,25.07,96.975
2357,E01002409,-0.12,-3.56,2.45,2.6,0.28,1.97,1.02,81.48148148,33.17249698,-14.57,3.47,10.15,24.87,135.0
2358,E01002410,0.0,-2.3,1.81,1.24,0.49,2.26,0.64,92.31508904,32.18307301,-10.67,0.30000000000000004,9.92,27.53,129.995
2359,E01002411,-0.44,-1.95,1.18,1.15,-2.21,1.02,-1.77,100.0,37.33833959,-9.8,-1.6500000000000004,9.4,23.97,116.0
2360,E01002412,3.58,-0.08,-0.12,0.99,-0.16,-0.81,-1.02,51.57894737,34.96079829,-25.869999999999997,8.4,16.479999999999997,28.06,190.0
2361,E01002413,1.17,-4.32,2.4,2.5,0.15,-0.16,-0.03,78.48605578,35.65762004,-7.59,1.1199999999999999,6.789999999999999,23.95,125.5
2362,E01002414,-4.59,-6.98,-3.71,-2.42,-1.51,-2.07,-1.34,96.5343277,30.17118402,-11.97,-3.3,14.89,28.04,113.975
2363,E01002415,1.24,1.75,4.24,1.84,0.25,1.71,0.11,89.38958707,46.01709402,-3.1399999999999997,-0.34,2.42,29.25,139.25
2364,E01002416,0.86,-0.75,2.96,3.04,-1.1,2.84,0.15,70.72368421,41.37580481,-3.2800000000000002,0.30000000000000004,3.01,29.51,152.0
2365,E01002417,5.42,2.48,4.71,1.59,0.12,0.53,1.29,91.17647059,43.00756828,-0.19999999999999973,-1.5,1.2000000000000002,30.39,170.0
2366,E01002418,3.01,0.39,6.56,2.25,-0.38,0.29,1.01,91.22503538,45.05874223,-1.0299999999999998,-1.08,1.81,28.94,158.975
2367,E01002419,5.74,4.96,2.79,0.52,-1.17,-0.4,0.68,97.77777778,46.25964441,-3.1,-0.53,3.46,29.81,180.0
2368,E01002420,1.31,-1.49,5.88,3.68,1.17,1.01,0.7,83.5443038,40.1894452,-1.34,-2.65,3.1,29.56,158.0
2369,E01002421,1.46,3.07,5.36,3.81,-1.2,1.21,0.64,78.78787879,43.78617637,-1.3399999999999994,-1.23,2.08,29.37,165.0
2370,E01002422,-1.2,-3.35,3.68,0.45,-0.75,5.47,0.62,89.39393939,33.89513109,-6.84,-2.58,7.98,26.7,132.0
2371,E01002423,0.38,-2.74,3.94,1.28,1.3,4.23,3.45,63.39869281,34.93670886,-11.620000000000001,7.34,0.5800000000000001,27.65,153.0
2372,E01002424,-0.72,-0.49,1.32,1.87,-2.3,1.03,1.3,75.6097561,34.57840237,-10.95,-0.8300000000000001,9.71,27.04,123.0
2373,E01002425,-0.51,-3.15,-0.73,1.22,-3.02,-2.34,1.16,239.8976109,34.76515456,-9.6,-1.0399999999999996,10.620000000000001,24.91,73.25
2374,E01002426,-1.18,-3.53,-0.45,3.43,-0.8,7.48,1.65,89.95433790000001,32.95719844,-12.89,-2.45,14.36,25.7,109.5
2375,E01002427,-1.1,-0.17,1.04,1.17,-1.64,6.22,2.88,69.49152542,35.18796992,-11.09,1.22,7.54,26.6,147.5
2376,E01002428,-0.36,0.6,1.91,2.71,0.61,3.91,0.27,79.21146953,37.70063457,-7.280000000000001,0.82,6.859999999999999,26.79,139.5
2377,E01002429,0.17,-0.99,2.55,1.8,-2.95,1.78,1.54,123.0966184,37.80687398,-7.4399999999999995,2.31,4.459999999999999,24.44,103.5
2378,E01002430,-0.87,2.43,7.55,0.22,1.16,3.37,2.16,75.43859649,39.18611269,-2.2999999999999994,0.18999999999999995,1.92,35.14,285.0
2379,E01002431,3.14,4.83,4.49,3.8,-1.13,-1.33,-0.18,68.89848812,40.65016403,-1.9500000000000002,-0.8500000000000001,3.0300000000000002,33.53,231.5
2380,E01002432,3.23,0.61,2.99,3.41,1.16,1.7,0.62,148.47560980000003,41.7193426,0.54,-4.71,3.4000000000000004,31.64,164.0
2381,E01002433,3.61,4.76,1.17,-0.1,-0.2,0.2,2.53,73.41040462,40.38783016,-5.42,2.3099999999999996,1.9899999999999998,29.91,173.0
2382,E01002434,4.0,3.98,7.9,3.12,0.49,0.29,0.43,71.45918914,41.29089302,-0.9699999999999998,0.19,-0.20999999999999996,33.93,279.95
2383,E01002435,3.71,2.94,6.9,1.47,0.12,1.51,1.85,116.1504425,45.29940120000001,-1.0400000000000003,0.54,0.5,33.4,226.0
2384,E01002436,3.53,1.74,2.44,4.71,-0.19,-0.08,0.77,70.08797654,39.10596026,-2.87,0.39,2.02,30.2,170.5
2385,E01002437,4.53,3.76,6.61,1.97,0.83,1.07,2.74,94.44444444,39.76331361,-2.9400000000000004,0.97,1.9699999999999998,33.8,270.0
2386,E01002438,-6.94,3.78,5.3,3.59,-0.32,0.34,3.69,65.58139535,34.08945687,-4.029999999999999,1.1399999999999997,1.8699999999999999,31.3,215.0
2387,E01002439,1.95,0.86,3.77,3.16,0.09,2.63,3.72,79.85611511,38.05147059,-4.7,-1.1,4.6499999999999995,27.2,139.0
2388,E01002440,2.6,2.22,4.74,3.11,1.14,1.11,2.55,70.73170732,41.0326087,-2.26,-0.5300000000000002,1.1999999999999997,25.76,133.25
2389,E01002441,-1.82,-3.84,3.43,4.78,0.4,2.11,4.0,93.33333333,33.70304114,-5.029999999999999,2.41,2.18,27.95,120.0
2390,E01002442,1.23,-2.48,3.58,4.91,3.08,1.41,1.95,118.0585106,37.44729782,-4.1,0.5100000000000002,3.2800000000000002,26.09,94.0
2391,E01002443,-1.95,-5.34,-0.95,2.77,0.65,1.38,6.08,130.2196348,34.89852766,-20.55,-0.41000000000000003,20.99,25.13,94.475
2392,E01002444,-1.97,-2.86,0.14,2.24,3.05,1.41,4.23,106.1403509,40.71370641,-10.01,-3.1300000000000003,11.91,24.66,114.0
2393,E01002445,-1.1,0.02,3.75,1.74,-0.98,2.52,1.4,165.2439024,36.51758576,-10.91,6.3,3.32,23.03,82.0
2394,E01002446,0.98,-0.88,2.58,2.23,0.84,4.27,2.22,180.1909548,38.18181818,-22.19,1.64,20.189999999999998,25.3,99.5
2395,E01002447,-2.16,-5.19,-6.28,3.28,1.8,4.63,5.86,223.7775915,37.60364842,-22.5,0.24,21.52,24.12,89.475
2396,E01002448,-1.68,-1.39,-3.01,1.13,0.06,5.72,3.23,144.0414508,36.7177787,-11.82,-3.94,14.799999999999999,24.13,96.5
